date,month_num,infl_pct,infl_lag,dlog_usd,dlog_eur,dlog_rub
1999-02-01,2,0,4,1.4274039740460154,-2.269876961954864,-2.188271124950747
1999-03-01,3,-0.5999999999999943,0,-1.1291188908394645,-4.0323321458417105,-0.8888947417246218
1999-04-01,4,0.4000000000000057,-0.5999999999999943,-0.31695747612792147,-1.9829945408773142,-5.978791837897335
1999-05-01,5,0.5,0.4000000000000057,0.6143554648405214,-0.06968641396998265,0.47281411959461117
1999-06-01,6,0,0.5,1.199165739580721,-1.351016250464987,0.938974034983886
1999-07-01,7,-3.200000000000003,0,-0.45951739713014916,-0.9941498530399606,2.3095714794649336
1999-08-01,8,-0.9000000000000057,-3.200000000000003,-0.4431321874670324,2.397435466137665,-0.917437627604123
1999-09-01,9,0.29999999999999716,-0.9000000000000057,-1.1539305410183331,-2.2904454416664777,-3.278982282299081
1999-10-01,10,0.5,0.29999999999999716,-2.5596240507007373,-0.7693033736716259,-3.883983331626384
1999-11-01,11,0.20000000000000284,0.5,0.49808532093091884,-2.7309179369215286,-2.5063968663216585
1999-12-01,12,1,0.20000000000000284,0.09550186954490059,-2.220862015227887,-1.5345569674660275
2000-01-01,1,1.9000000000000057,1,0.6090616467750998,0.9578437397290251,-5.837200622190686
2000-02-01,2,0.09999999999999432,1.9000000000000057,0.1706323288208189,-2.8053393881455335,-1.0989121575595284
2000-03-01,3,-0.4000000000000057,0.09999999999999432,-0.07580064793488717,-2.2748137525936407,1.0989121575595284
2000-04-01,4,-0.7999999999999972,-0.4000000000000057,0.6424814239403887,-1.2068600334625756,1.0869672236903494
2000-05-01,5,-0.29999999999999716,-0.7999999999999972,0.6009407756098817,-3.937996150141654,1.6086137751624818
2000-06-01,6,-0.29999999999999716,-0.29999999999999716,1.7630594931263843,6.376182206939962,1.5831465216680662
2000-07-01,7,-2,-0.29999999999999716,0.8244069775082075,0.2715811562541859,2.584123118388737
2000-08-01,8,-1.2999999999999972,-2,-1.3963114972807666,-5.168081619050113,-0.51151006667709
2000-09-01,9,0.29999999999999716,-1.2999999999999972,-0.12959364953584185,-3.7622643541771694,-0.5141399500418586
2000-10-01,10,0,0.29999999999999716,0.9587094079339664,-1.107572557534997,0.5141399500418586
2000-11-01,11,0.9000000000000057,0,1.9082814416440996,1.6989153578185423,2.0305266160745905
2000-12-01,12,2.4000000000000057,0.9000000000000057,-0.1801802289262966,4.749582146957643,-0.5037794029957077
2001-01-01,1,4.599999999999994,2.4000000000000057,-0.1985739437596834,4.0339950644929345,-2.0408871631207415
2001-02-01,2,-0.9000000000000057,4.599999999999994,-0.21707678567706168,-1.9278174681562454,-0.5167970158442614
2001-03-01,3,0,-0.9000000000000057,-1.1291323751149385,-2.2066296389372297,-1.5666116744399439
2001-04-01,4,-0.09999999999999432,0,0.3291281084072395,-1.9895093882640325,0
2001-05-01,5,1.5999999999999943,-0.09999999999999432,1.0893353907883707,-0.3286098664597503,0.5249355886144169
2001-06-01,6,-1.2999999999999972,1.5999999999999943,0.23446669592548375,-2.5840154121703485,-0.5249355886144169
2001-07-01,7,-2.700000000000003,-1.2999999999999972,-0.1803101822812181,0.7151902592354986,-0.5277057100843585
2001-08-01,8,-0.7000000000000028,-2.700000000000003,0.09019573083737242,4.367685495118234,-0.5305052229692908
2001-09-01,9,-1.2000000000000028,-0.7000000000000028,-0.09019573083737242,1.2957422391626672,0
2001-10-01,10,0.09999999999999432,-1.2000000000000028,1.2019159847076466,0.5530332088478751,0.5305052229692908
2001-11-01,11,1.2000000000000028,0.09999999999999432,0.6930280958410862,-1.1689088021026528,-0.5305052229692908
2001-12-01,12,2.4000000000000057,1.2000000000000028,-0.01771008594024792,0.19908427837700415,-1.0695289116747997
2002-01-01,1,2.200000000000003,2.4000000000000057,-0.08859750734586669,-0.8187764164015121,-1.0810916104215806
2002-02-01,2,-0.7000000000000028,2.200000000000003,0.2125022935315357,-1.4135938134183235,-0.5449604767564509
2002-03-01,3,-0.5999999999999943,-0.7000000000000028,1.1957237593237302,1.7738824337381054,0
2002-04-01,4,2.5,-0.5999999999999943,1.0778963889690019,2.213091705577064,1.0869672236903494
2002-05-01,5,1.7000000000000028,2.5,0.4313698346413375,3.7776517514667596,0.5390848634876821
2002-06-01,6,-0.5,1.7000000000000028,-0.01721911325818226,4.237141454998028,-0.5390848634876821
2002-07-01,7,-5,-0.5,-2.617037002889422,1.432689262076181,-2.7398974188114433
2002-08-01,8,-3,-5,-1.280928383985458,-2.941123133834722,-1.6807118316381153
2002-09-01,9,-0.5999999999999943,-3,1.0685765080460818,1.3098240745955891,0
2002-10-01,10,0.5,-0.5999999999999943,2.9670588369002715,3.008682657450734,3.3336420267592093
2002-11-01,11,2.200000000000003,0.5,0.480357760167216,2.528273195699704,0
2002-12-01,12,3.5999999999999943,2.200000000000003,0.051330311675457096,1.6955306150431504,0
2003-01-01,1,4.099999999999994,3.5999999999999943,-0.2740666326653596,4.084889395671354,0
2003-02-01,2,-1.5,4.099999999999994,0.5644417619676823,1.9498779825271484,0.5449604767564509
2003-03-01,3,-0.5,-1.5,0.6968669316093745,0.85106896679088,1.6172859245600968
2003-04-01,4,2,-0.5,-0.39032718203522165,0.015692428435443162,0.5333345975362835
2003-05-01,5,1.2000000000000028,2,-0.35772118888983684,6.043077059202684,0.5305052229692908
2003-06-01,6,1.4000000000000057,1.2000000000000028,-0.13661204310428943,0.7798170909103064,1.5748356968139365
2003-07-01,7,-5.5,1.4000000000000057,-0.9615458699442136,-3.429077770212441,-0.5221943981151611
